phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide
0.9,0.038888889,0.956111111,0.005,166.42105278222934,63.95692099252454,125.23938363774708,104.41333077434733,38164.17522645524,192.3935167834873,41.47505817429784,29.94648306927631,585.3847273961367,0.3137235427372204,0.8682311267780818,7.92239542549063,4.275129097100316,73.92913280545294,0.09052742003248714,0.188583423541017,494.9446983870448,4014.1314142938663,0.022880663835387095,0.02267134037383423,0.15083333689874706,0.3631462217815906,30.04249880594203,0.00037182477559485726,0.0997387164893091,21.987830398958916,0.0006848132215568299,1.014270514024955,0.0001030968504732078,0.00022160019658592757,1.0333958543795718,36.944422916641
0.85,0.041176471,0.953823529,0.005,181.56921504219423,70.17997442626623,129.55321395448524,106.38489591143325,40401.017664020954,201.04489910699635,44.72001083724534,30.329341315419743,622.4042455019966,0.32026117752385186,0.9510279310338202,8.624003637332581,4.331456955184783,76.9318108096048,0.09937302032179211,0.19965597396112997,513.2769893716263,3969.594434652778,0.024312885060217178,0.024970359990767424,0.16612879565004907,0.4076515632880098,31.330175848617838,0.0004157676128499852,0.10534460519377893,23.37523326821793,0.0007237268301383421,1.116442514195404,0.00010664664292830055,0.00023738918029792016,1.0960399867550932,39.685573200710245
0.8,0.04375,0.95125,0.005,198.6740996085176,77.13007147268543,133.80731788931845,108.45649606938156,42918.58272876348,210.41559806165301,48.325906517775536,30.731689447060248,662.8809968208135,0.3279735470619602,1.0432819161014137,9.405313710459865,4.377836830120068,80.11887209350009,0.10916105344897555,0.2114470815106616,532.7247085591741,3921.9296536059264,0.025842916351479093,0.027556541631677124,0.18333475129468962,0.45759934614938874,32.69438655985648,0.00046581927303948395,0.11140970011178866,24.88394210158345,0.0007645172131536382,1.2320136297838038,0.0001104502191667115,0.00025488082447666904,1.1649814029419092,42.767819285542146
0.75,0.046666667,0.948333333,0.005,218.05664220202465,84.90075743175242,137.94095637358205,110.63238521998149,45773.34030287258,220.57162473582738,52.33877118688661,31.152597468162607,707.2533395955377,0.3370743614522064,1.146147358734812,10.277081633882814,4.412121721479566,83.49950902807436,0.11997956576663613,0.22396661778224705,553.3853024601917,3870.857966460385,0.027472027303078916,0.030473040626271018,0.20273831690948074,0.5135097421897149,34.140404035199,0.0005229092516123803,0.1179803714318119,26.52842612050005,0.0008070398846932316,1.3630899469018616,0.00011453115590750799,0.00027432752282699485,1.2411559837360084,46.25294195249682
0.7,0.05,0.945,0.005,240.10185277261095,93.59646249852898,141.8784344476086,112.91488806768625,49037.96739438542,231.57938399457313,56.810114181140875,31.590019407042252,756.0332655399958,0.3478210230444003,1.2608889150542895,11.251750473552024,4.431832816912704,87.08112330112112,0.13191591261213942,0.2372031166280962,575.3712704833337,3816.07005737008,0.02919806045991171,0.03377048354016988,0.2246763116696513,0.5758802317357092,35.67376198653485,0.0005881087357879667,0.1251067487551774,28.325630281267408,0.0008510495861138022,1.5121349352152058,0.00011891356983245784,0.00029603085937210817,1.3256904972122,50.21770318107714
0.65,0.053846154,0.941153846,0.005,265.27424371108185,103.33232418478123,145.52589083529315,115.30294453146979,52807.6070788752,243.5016426243375,61.797095802454585,32.04028063853992,809.8229131338759,0.3605248721058632,1.388867219983503,12.343785684666123,4.434126072474434,90.86819286899615,0.14505162733203908,0.25111198907030785,598.8146922398377,3757.222177832687,0.031013415510651288,0.03750827250593757,0.24954393850185919,0.6451461632136967,37.300195002526834,0.000662648526752305,0.13284192375378628,30.295611080500077,0.0008961642353832152,1.68201861491439,0.00012362071382728131,0.00032035398390936875,1.419953539360462,54.75849526123009
0.6,0.058333333,0.936666667,0.005,294.1379468507741,114.23274400675936,148.76744063714006,117.78985563158197,57209.24889649378,256.3907912031195,67.3623885753036,32.49735966007352,869.3362686280196,0.3755648109817138,1.53150518489195,13.570123219525305,4.415769437640093,94.86074388763056,0.15945458329791862,0.2655981893265862,623.8738535616399,3693.9307095161757,0.032902033041738755,0.0417560001064678,0.2778041972048061,0.7216237472255344,39.0255263277407,0.0007479379940868976,0.14124025157385633,32.46241587917343,0.000941816965767807,1.8760596441793294,0.00012867254093837285,0.00034773807112892783,1.5256236073077973,59.99778967964466
0.55,0.063636364,0.931363636,0.005,327.3839916750596,126.42775486827684,151.46063493200614,120.3598436429564,62416.24406967686,270.2779681895335,73.5736247232422,32.95189609313839,935.4292999781192,0.3934066012807566,1.690224773061774,14.950819985237958,4.37314403082872,99.05241578133743,0.17516757601390548,0.2804909692816595,650.743501156438,3625.7637807600263,0.034834924447748994,0.046594921436041985,0.3099976779167667,0.8054318061103208,40.855481833529296,0.0008455871546934104,0.15035424652349055,34.85536719588241,0.000987192995165568,2.098047578926532,0.00013408168960213525,0.0003787251119693235,1.6447826815200224,66.09331121522796
0.5,0.07,0.925,0.005,365.8689674256375,140.04549866872995,153.43121869054562,122.98281554105918,68671.52116398695,285.1556337087416,80.50230848705438,33.389837095305,1009.1437645528482,0.41463232787411286,1.866338356652802,16.51006985907914,4.302291614603584,103.42817666276554,0.19219224917201244,0.2955072295543706,679.6710484742465,3552.2271853350153,0.03676357840431174,0.05211933431581546,0.34675174344810317,0.8963900174539037,42.79536235347642,0.0009574373620903472,0.16022917221378127,37.51101773800913,0.0010311467839250264,2.3522189505228694,0.00013984700948835717,0.0004139907302645192,1.7800475222164356,73.25139881899779
0.45,0.077777778,0.917222222,0.005,410.674132955911,155.198105601621,154.46734294927677,125.60646059941402,76326.30368993143,300.94995484405024,88.22236247119788,33.79063496162801,1091.7761724330699,0.4399899285764016,2.0608765967559384,18.277947232841186,4.1990448482133615,107.9620813504002,0.21046778340915415,0.31019892418047856,710.9833017280788,3472.737401458523,0.038610344365895416,0.05843772619007482,0.38878815921002746,0.9938994892277295,44.84946272132084,0.0010856179530855914,0.1708940415443683,40.4763253499781,0.0010720947547782872,2.6431422915768383,0.00014594342798895073,0.0004543946830503711,1.9347611654130523,81.7471686209831
