phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,oxirane,acrolein,propanal,cyclopentadiene,cyclopentene,crotonaldehyde (trans),crotonaldehyde (cis),benzene,4-pentenal,"1,2-epoxycyclopentane",cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,H radical,hydroxy,hydroperoxy radical,hydrogen peroxide,toluene
0.45,0.072222222,0.922777778,0.005,7191.227909968808,266.85323281207906,62.287180932791,625.6116596058039,64459.72142554367,700.0940131866132,445.84649461411124,3.1598024543724934,810.404694548176,0.243619715970056,29.98308689513892,2.51226035544209,0.6654687065399738,14.541473529645453,105.86592397639141,0.18511888962718595,0.0004402071340071761,0.0006883413288513831,4.9543719112038955,4.9543719112038955,0.002979159157643742,0.000017447873567175947,1657.5340420179662,3.6985984154744833,323.0462171068216,3.6589591811325053,0.0037879578768693447,0.006087081948139066,8.07604625611214,810.404694548176,1.6350218746190657e-7
0.4,0.08125,0.91375,0.005,7150.437618905762,271.78217604692713,57.15331855226321,583.0452837324896,73356.37953396938,648.546235651044,428.7801205199609,2.948592372185078,834.3716751904715,0.2244250874728953,29.425762166481793,2.243843203225223,0.5651270093051141,14.232968899311006,109.44023464526882,0.153700011028343,0.00040973451061971977,0.0006449235452118694,5.1083526616049335,5.1083526616049335,0.0026383356481711326,0.000015852016060476455,1640.973960937637,3.455674174102782,324.40662536110557,3.5962214117383655,0.0035365495230697203,0.00619974181435452,8.223296425568545,834.3716751904715,1.3500227531465945e-7
0.38,0.085526316,0.909473684,0.005,7132.924408709472,274.07794008240563,55.00886302007268,564.9960296817915,77574.10667834818,626.5099388096793,421.25870744292644,2.8635562946296123,844.796576299582,0.21634855782161325,29.201662737698257,2.1340308561980135,0.5254479811571976,14.130152441821682,110.95287781842337,0.14204125759881323,0.00039867980130131077,0.0006264986784881861,5.178412235261069,5.178412235261069,0.0025166062416947404,0.000015189387591610215,1633.808942280352,3.3493842936125664,324.7719214961486,3.565151852588204,0.0034304807052261883,0.006248905786004459,8.287564785434588,844.796576299582,1.2506965169811714e-7
0.35,0.092857143,0.902142857,0.005,7105.265259921658,277.9590308537797,51.68602637250576,536.7270705809268,84809.00534929549,591.8313402622978,409.1476819448886,2.735131551879575,861.477255435301,0.20378667227775218,28.862034093370774,1.9668400677917874,0.4666532881817695,14.009731726596057,113.31139737056476,0.12552790708982808,0.00038356286113506847,0.0005973828461158665,5.293724157932933,5.293724157932933,0.002350223935071344,0.00001416787615937673,1622.405878630561,3.1791606150435827,325.0659959446244,3.5111276651413412,0.0032648874021235607,0.006327683486890543,8.390665539389046,861.477255435301,1.1167914539174103e-7
0.31,0.10483871,0.89016129,0.005,7065.543237805608,284.1613705888434,47.04170394063051,496.61118750231117,96644.26198425265,542.3892572106824,391.2956168977444,2.561578432996822,885.9812138117168,0.18617756576190136,28.39750564788262,1.7397074644154762,0.390085466390605,13.940862731363364,116.61926853650075,0.10532086205984063,0.0003667805039387742,0.0005551116554352557,5.468794485629833,5.468794485629833,0.002159667374214848,0.000012751965591502194,1605.8349418943912,2.9302044125023685,324.8462588686266,3.4232048717166843,0.003030770961477133,0.006443354136164452,8.542640314037762,885.9812138117168,9.65351482812202e-8
0.29,0.112068966,0.882931034,0.005,7044.312221761253,287.82300590643746,44.620860546988425,475.4199494115842,103791.55724744638,516.2269327944374,381.5676298626363,2.4733974901226494,899.3725645424563,0.17699846966197047,28.15732051197527,1.6245794955743358,0.35281831406303366,13.962245322605845,118.33868248353328,0.09598441929876929,0.00036022428214019594,0.0005321626303746424,5.566557287239282,5.566557287239282,0.0020782383029210117,0.000012020009586526707,1596.898137313269,2.7954707899074993,324.40057338163774,3.3714254244606416,0.0029073810878591077,0.00650633096984958,8.625890588315919,899.3725645424563,9.008106866338189e-8
0.25,0.13,0.865,0.005,6998.547319658577,296.65164727455414,39.56566607951869,430.51857641887415,121530.9234058172,460.8977031017689,360.3405810400428,2.292874983821015,928.9433315661761,0.15789878505043864,27.65210195592926,1.3919863977230535,0.28093102623881,14.169341888431958,121.88742233152544,0.07880674977105546,0.00035212646402357767,0.0004817955115547646,5.7854293796458585,5.7854293796458585,0.0019439441091750724,0.000010506786265331562,1577.574578824681,2.503608263693439,322.62611813398576,3.249566893179562,0.0026461740857683987,0.006643938830908424,8.809906351413012,928.9433315661761,7.932316225298183e-8
0.23,0.141304348,0.853695652,0.005,6973.624886657931,302.03958522216936,36.9247390520916,406.68498514572264,132723.01317312755,431.7007256115656,348.7745982424627,2.199744499115615,945.4013923113359,0.14799337609391672,27.382118917225835,1.274955139985071,0.2465934791361073,14.384555877311142,123.7019880332428,0.07094024507059946,0.00035140656136531693,0.0004540114021188168,5.907956344824877,5.907956344824877,0.0018912992340945336,9.725430562156574e-6,1567.1366614823187,2.3457494306932722,321.19102553457367,3.1782299125225446,0.002507441430030984,0.006719079455056197,8.912207058278984,945.4013923113359,7.499306131730215e-8
0.21,0.154761905,0.840238095,0.005,6946.909227380101,308.28175402406686,34.20382856218107,381.8287831574976,146054.01935342632,401.4784169279841,336.5318268796787,2.103964943154426,963.2250050122627,0.13787113789742622,27.09617857078051,1.1578086398847205,0.2135369099688777,14.700407859787841,125.52817857577604,0.0635311977459216,0.0003537028822961262,0.00042424190285660985,6.040391541256918,6.040391541256918,0.0018483166706064747,8.927897482537741e-6,1556.1613529886615,2.1794984735973526,319.30575716448345,3.0989825682342014,0.002362505382493224,0.006798679673530084,9.022652396134127,963.2250050122627,7.135208146141169e-8
0.2,0.1625,0.8325,0.005,6932.714493250229,311.7889652886849,32.81232341083659,368.98819951655395,153722.3872062069,385.9866609661413,330.14824363104253,2.0548457791709094,972.7276127321696,0.13273635309073759,26.94589115857639,1.099301798146828,0.19754297112759156,14.903998855834146,126.44049717845911,0.05999063911343739,0.00035624528908597064,0.0004085545541944041,6.110679690205551,6.110679690205551,0.0018303909123523843,8.523250018806124e-6,1550.4737985179308,2.0931409580012965,318.1712600415165,3.0561302339226706,0.0022874759885618753,0.006840156143821604,9.081300994963936,972.7276127321696,6.978982195966894e-8
0.19,0.171052632,0.823947368,0.005,6917.837188967302,315.59766824724574,31.399539434524353,355.8545029612006,162200.2462152649,370.2455085041574,323.58628790404583,2.004749399246822,982.6764301666723,0.12755790067333522,26.78986777866964,1.0409068964712216,0.18193571628229338,15.143058654320336,127.34878588749673,0.056554491133917625,0.00035989593734370265,0.0003923027422124904,6.183914474250717,6.183914474250717,0.0018147785390086719,8.1148335285093e-6,1544.6580187086627,2.004593808508695,316.89549754032,3.0109703278315636,0.0022105883940284053,0.006882716855398521,9.142463920148371,982.6764301666723,6.84005824087875e-8
0.17,0.191176471,0.803823529,0.005,6885.487717283107,324.28877520971764,28.508299858779694,328.6427895973095,182156.47257555593,338.03657709366325,309.92084507169216,1.9010227049917987,1004.1135084155715,0.11709148643499749,26.457468807540096,0.9246875614273121,0.15197752272434883,15.745514490320083,129.13966732621796,0.049977631046236336,0.0003712129024278821,0.00035802680858141564,6.340120956482421,6.340120956482421,0.0017901538575608928,7.28734808787358e-6,1532.678110385347,1.8208705458493273,313.8776393711466,2.9132055832146464,0.002050686088038953,0.0069708059173593925,9.273141048029592,1004.1135084155715,6.61468046002e-8
0.15,0.216666667,0.778333333,0.005,6848.298011046867,334.7804859776262,25.5261023428882,300.0395147653819,207448.3669990176,304.91264523204006,295.53392888440317,1.7912787446145229,1028.0448375480357,0.10652576887087563,26.091428746473603,0.8096799048253008,0.12386273626981949,16.549172545511805,130.86668403300874,0.04375867798265275,0.00038938500898920187,0.00032128227685389527,6.511326468745115,6.511326468745115,0.0017733767407657327,6.447170468920673e-6,1520.3554343579858,1.6283141925464306,310.16609137443146,2.804520020315578,0.0018814651422721439,0.007061832001944576,9.41653519308786,1028.0448375480357,6.460565718752782e-8
0.13,0.25,0.745,0.005,6803.497562436522,347.69247209244736,22.447960170643555,269.83828127754794,240541.05179385314,270.9698580659534,280.45125714742335,1.6733402768081695,1055.2306956999753,0.09593622464309494,25.681516299910403,0.6965203411636405,0.09780409671179233,17.605087162337842,132.48077700606436,0.03784324471065093,0.0004168772419456861,0.00028199977450159606,6.7011534343663515,6.7011534343663515,0.0017624384556913758,5.5968582856406355e-6,1507.9898305697977,1.427140934066588,305.68306618757396,2.683478137766898,0.0017011011841204992,0.0071531827772061815,9.574923589939296,1055.2306956999753,6.378937049671351e-8
0.11,0.295454545,0.699545455,0.005,6745.894011298395,363.9606111119378,19.266817408969914,237.75111863531518,285693.5581178189,236.3507551644072,264.7475278158139,1.5439302090772522,1086.88266957602,0.08542757931155628,25.213381671974442,0.5859690010035831,0.07402709451816493,18.97355985051847,133.90949043800467,0.03215980375431346,0.0004571998783972423,0.00024021304731798487,6.915724070976347,6.915724070976347,0.0017535813259153365,4.7400734338549944e-6,1496.2342658030536,1.2179209480499078,300.38940833711183,2.548202847243398,0.001507012171953029,0.007239036800657682,9.751018503266593,1086.88266957602,6.3673051245721e-8
0.1,0.325,0.67,0.005,6709.370316198898,373.7825027754235,17.634358455108632,220.8760431535197,315055.38913412124,218.84817429872572,256.70934897299963,1.4734102691584179,1104.9832522508484,0.08024680611291327,24.951245545772824,0.5319468965855468,0.06306893646482162,19.795064402068327,134.5216169180471,0.029376197247293248,0.00048363639325794716,0.0002184337923251266,7.03546346778411,7.03546346778411,0.001747887415951905,4.310786669047736e-6,1490.9875822199247,1.1106144663515143,297.4545261287867,2.4744320488491587,0.0014037005825281005,0.007276285460228332,9.846611989684154,1104.9832522508484,6.383544247011638e-8
