phi,O2,N2,fuel,CO,CO2,CH4,H2,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",acrolein,cyclopentadiene,cyclopentene,cyclopent-3-enol,cyclopent-2-enol,toluene,cyclopentanone,cyclopentanol,cyclopent-2-enone,h radical,hydroxy radical,hydroperoxy radical,hydrogen peroxide,benzene
1.75,0.014,0.9825,0.0035,4462.40111996408,302.5590715165763,140.81912656409685,674.8200681079328,603.8559800239937,230.27165736886553,64.7733450072098,5439.624275615802,6.264919350739828,24.07364040935093,248.0701681366304,70.61072768016267,8.767601173466522,0.07593387999628716,189.78097304382317,260.2444999678274,0.002426556930886338,223.40810825402943,530.2872841130375,45.114786667092005,0.0018704695810995633,0.0032306902296029743,6.822481498591248,421.73515148625086,7.616123665538866
1.5,0.016333333,0.980166667,0.0035,4509.634519421248,320.2616174586626,129.9740956636745,610.2300622943928,584.4533458621987,223.53661627770038,58.5106017718573,5585.599658220711,5.7558469054291415,21.130009166792224,242.34651572590937,63.039788803172485,8.167414580381724,0.06253427577083619,197.23443338151088,269.15752268498136,0.0017076138921415962,218.01864951222382,520.9382375967016,46.7838622723128,0.001703463769708064,0.003358430078006545,7.056575406112034,445.5795712402382,5.785319682823587
1.25,0.0196,0.9769,0.0035,4555.735164561806,339.93931005610943,118.56317910615523,546.7431283998892,564.1773979167392,216.88542963235602,52.264844441990505,5732.2065134455825,5.134195189966806,18.140947325613688,235.7618891445501,55.799258685184974,7.49608139128196,0.05027188161702972,204.55996820023876,277.8719764281415,0.0011383912903302957,212.64451784782685,511.6232776730793,48.62868401086915,0.0015368764774765277,0.0034889621927122368,7.291768261878902,470.2030256393063,4.123153740278076
1.1,0.022272727,0.974227273,0.0035,4583.978292134222,353.18119853422945,111.36377923079134,508.8460671600081,551.6030307065525,212.96197526133358,48.55244120669658,5822.372786102268,4.705371047373953,16.339195012944074,231.26170152384069,51.64459169061123,7.063593787793794,0.043545128819952816,208.82538470067286,282.91838971329406,0.0008662574605494975,209.35453618245657,505.882996571449,49.864009580016905,0.0014365371284526822,0.003570404606085573,7.4350411308949305,485.5008101093588,3.232781401250923
1.0,0.0245,0.972,0.0035,4603.673358920391,362.8857995971758,106.37037964886106,483.45299683775966,543.0406414218035,210.38171350399452,46.10012657540605,5884.471935006918,4.396112563903856,15.138432896399786,227.95133929422744,48.96475817386347,6.764496127725696,0.039342006458339865,211.58621369827455,286.1694862478553,0.0007120738939524032,207.09395194189372,501.9045034846968,50.765985989248776,0.001369022793276386,0.0036270418791549243,7.532440736073695,496.01351217140024,2.6910421829438302
0.9,0.027222222,0.969277778,0.0035,4624.6195790034235,373.55069208518825,101.17891584358206,457.7614540251389,534.3191102243528,207.83270300280503,43.66999134630603,5949.128917586356,4.068298169064345,13.939864249153858,224.31591952525852,46.36433823394215,6.457662899781522,0.035370118321952734,214.2590312335472,289.3011501608495,0.0005783692157702488,204.74421659846635,497.7275412101713,51.75366943503279,0.0013005436015625863,0.0036865128741334105,7.632271411376852,506.87052201879004,2.1941920324059594
0.75,0.032666667,0.963833333,0.0035,4660.017253026253,392.1403178091176,92.89185224121566,418.08084167692977,520.8786141905579,204.06896214885305,40.07301976878723,6053.763154925946,3.5423632286862627,12.148931778018804,218.01670620248908,42.631427631540966,5.984265122147915,0.02984971439028481,218.04528037181709,293.69665049415926,0.0004132223685634957,200.95028712558786,490.86843244736446,53.46580627649494,0.0011945511662780428,0.0037839070069334785,7.789363567253256,524.0888899342891,1.538233397112888
0.65,0.037692308,0.958807692,0.0035,4687.959862927214,407.1238575907456,86.89877883153912,390.2537117621843,511.60683181504726,201.59437805540546,37.71058322856268,6131.602344811756,3.16949662712136,10.960846012139168,212.995139500171,40.272882304033075,5.660288872011748,0.026458207937760766,220.36372304706376,296.3479343260915,0.0003244462887099331,198.13669788263852,485.673464142715,54.83699349335277,0.0011201195064569447,0.0038573394208008373,7.90195090982871,536.5004649618814,1.1630918686807674
0.6,0.040833333,0.955666667,0.0035,4703.895786886384,415.7470455507299,83.70849644427832,375.6878400087342,506.8461097185079,200.36316352484602,36.54047112470133,6174.124024890838,2.976579936000385,10.368677565440812,210.13187907777396,39.13964513463766,5.495620767567113,0.024846808980720964,221.43940910197915,297.55994146944334,0.00028580055507690686,196.6040632325229,482.8017274084017,55.6227601793546,0.0010811321849948253,0.0038978203917489174,7.961783252605376,543.1117128773813,0.9946537662089552
0.55,0.044545455,0.951954545,0.0035,4721.577894584707,425.37030323353633,80.35383662435177,360.5280496625112,501.9799441993455,199.13176688407427,35.37764846814209,6219.831092319668,2.7794477924425753,9.777686042989615,206.96044923681816,38.04177718838646,5.328874929732604,0.023289857076267614,222.44508423412302,298.676467272539,0.0002506635026935577,194.9610274407686,479.6898752790652,56.49701247644895,0.0010405308685628187,0.003941627238494159,8.024767287847016,550.0786285632572,0.8391129583048929
0.5,0.049,0.9475,0.0035,4741.455131257295,436.2578967482975,76.79865653756544,344.61062196158116,496.98439366158044,197.89458408398397,34.22171974160706,6269.536408584012,2.5782005732394944,9.187717323306403,203.4024868707823,36.98419699102544,5.159600641102466,0.02178545523563639,223.36595910464825,299.6770903824466,0.00021877621851157587,193.1805511421265,476.27941075493953,57.48311919746327,0.0009978624844145666,0.0039896124595655905,8.09172919535124,557.491074331361,0.6965399252039776
