phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,oxirane,h radical,hydroxy,hydroperoxy,peroxide
0.7,0.05,0.945,0.005,145.528847334898,0.2671303453223374,21.625579643977936,228.99025109845482,49697.946516078606,272.08031465140766,55.28941845029044,98.56308715459139,197.51615485417736,6.028838520599444,7.124066887203491,5.696395105623415,6.160133625515474,88.55038325686371,0.04235666910440667,451.5271128347707,4215.676201810114,0.001166987942439957,0.07304232247594666,0.07304232247594666,0.28437323847340235,7.431949830843364,0.003693117664659459,0.000776249198880003,14.173599897671638,0.04823983079507055,0.32895627589176546,0.0002477526535987845,0.00008060268083391015,0.11918657170410668,3.341076970583076
0.65,0.053846154,0.941153846,0.005,173.69764410566907,0.3474175876367252,23.31859192657006,247.261426908874,53490.11457130735,295.6840983110832,62.84294723479471,100.47122649770829,233.01069146835076,6.223663943976863,8.699511029323698,7.044007688384496,6.703113331599022,101.97581867250663,0.051698832163129094,484.27208156921847,4144.622155009851,0.0013243952200443845,0.09951090037076765,0.09951090037076765,0.3632228369334056,8.214691460714343,0.004588046736445336,0.0011140344653347008,16.95154306933544,0.06044260881981267,0.40100502650830366,0.0002727241838818489,0.00009597908130107627,0.13474165517364642,3.86401492986677
0.6,0.058333333,0.936666667,0.005,213.52372850341297,0.4753498404574191,25.27551862034686,270.3409797806122,57902.66888526305,325.04753398805735,72.66854729719141,102.33877132949027,282.1856511345942,6.406317021963098,10.931309434003495,8.967066786120762,7.312141151152656,119.62339312017012,0.06482448226060443,524.0734104389882,4053.867284838207,0.0015383764928744868,0.1420133744357787,0.1420133744357787,0.4771900995054499,9.19426111605022,0.005861613961382709,0.0016939498184696368,20.835959312167788,0.07850714381089004,0.5011667379861745,0.0003049611899447555,0.000117646462493494,0.15535523324672398,4.592895180906824
0.55,0.063636364,0.931363636,0.005,274.0749134080056,0.7009186111417971,27.589738789538146,300.7912987438918,63095.614951557116,362.95389055197563,86.16355827767826,104.02921695793502,354.8729243060849,6.555354917598022,14.2971621588125,11.878583860929709,7.994975342665436,143.94480072818587,0.08438633793872126,573.7199997264669,3932.2618454314916,0.001848568104862222,0.21643598566466427,0.21643598566466427,0.6520193417900095,10.462170797169247,0.007768551899288923,0.002793331662335786,26.61963754608171,0.1073411044852013,0.6480686363819552,0.00034876542432534815,0.00015040651124562332,0.18426179045672098,5.68581273430752
0.5,0.07,0.925,0.005,378.2164515648634,1.1713899565301216,30.47619711083301,344.11808105758564,69277.90327809093,415.098309430098,106.59723817848355,105.22308974216745,474.7257843723345,6.625934800756118,19.926261519882384,16.727798572050617,8.769376839369604,180.242357547281,0.11659504820913719,638.1010965581706,3755.3182207192253,0.0023504095847873005,0.3665695442807797,0.3665695442807797,0.9491839807578499,12.192948245602764,0.010849504679604877,0.005240323597105746,36.176460242811906,0.1594479422974028,0.8835659276109695,0.00041384474997145437,0.00020621408613633797,0.2289099931324866,7.540939655143732
0.45,0.077777778,0.917222222,0.005,620.4735009710467,2.628236112629274,34.89701527951224,419.4518991950841,76663.36377926667,500.1818583832005,146.5571850604592,104.87722153685402,733.2419830996726,6.5036504509225574,32.010986414415804,26.837550780067218,9.776560856830429,246.47782441732693,0.18490662035929759,729.2669665430238,3437.200421776714,0.0034196025932454236,0.7885221308436099,0.7885221308436099,1.6103260068896377,14.87118872077427,0.016718475979758972,0.013146929180183434,56.503053814834225,0.2860230912611135,1.354927897736359,0.0005359341381489823,0.00033363280913422695,0.3167909544203764,11.798423950090937
0.4,0.0875,0.9075,0.005,7912.228577423599,265.5836349741601,133.07547909061324,995.1515977516076,77694.51114565745,817.277106815796,535.742868711636,34.69917506196036,6273.153815008297,4.073641152706008,83.37550241877426,36.76230721669481,12.475261087393664,407.27892178694094,1.000649162290751,286.10492368908893,926.6055819090382,0.020380391196636715,9.854078871366612,9.854078871366612,9.182973011968953,17.235479448869164,0.0026545452669285026,0.6734239865026267,210.31161663357864,2.5974005388670927,9.815804454773012,0.0028165481497727874,0.005677001620416007,3.3090136476804974,253.84401487501557
0.35,0.1,0.895,0.005,8066.950674069813,289.0311304943843,123.90385482206212,952.4619650549166,89817.95548282994,752.3347566079726,517.6905698399893,30.940305318840995,6502.369780057644,4.046576687903003,79.09543533492369,35.79225206244287,11.048044204294676,393.69198057749804,0.945419200094958,273.60410698762246,897.0526729127545,0.018020551276340877,9.923691343057087,9.923691343057087,7.9217739678203865,17.603322482148684,0.002180815723024011,0.6390908140786599,198.73028116269123,2.5365188890958654,10.107397516995762,0.0027760737472408824,0.006018313350243536,3.6265165998152247,282.1595100472272
0.31,0.112903226,0.882096774,0.005,8169.828121062284,309.0200627010837,115.28105600592947,911.7325011066627,102410.28658183242,694.9687206512782,501.0281725365955,28.03923375838237,6682.831482533587,4.067555195650411,75.63507977354564,35.32640709547721,9.969509984717885,382.7497814473785,0.9072034738237513,265.47982753794946,875.8822799798262,0.015972704448842114,9.995015287430443,9.995015287430443,6.951942956080207,17.928108176809218,0.0018558424890986996,0.5974093724166586,187.91162579849492,2.4696868146444073,10.316769384647008,0.002719411690750197,0.0062948741738109255,3.8978426542283984,306.8192866056707
0.28,0.125,0.87,0.005,8237.725587916719,325.415627470559,108.03879782820961,876.8809916908582,114259.22611174356,648.5949588152431,487.1003608896434,25.886583509246822,6819.655378864575,4.111125241608903,72.96111064215383,35.15549568731657,9.190353228330402,374.2427872948266,0.8832727468664058,260.2561492329915,860.8202855843797,0.014360774509623895,10.059012741624814,10.059012741624814,6.241520624236094,18.190204350393618,0.001636309394184364,0.55763413349734,178.69802017530472,2.408277973825682,10.464158504742326,0.0026620900283284457,0.006510287084707799,4.1169690767150895,326.9949483726949
