phi,O2,N2,fuel,cyclopentane,cyclopentene,"1,2-epoxycyclopentane",H2,water,CO,CO2,methane,acetaldehyde,ethene,propene,acrolein,"1,3-butadiene",1-butene,cyclopentadiene,benzene,h radical,hydroxy,hydroperoxy,peroxide
0.31,0.120967742,0.874032258,0.005,4991.513211983273,5.7353673656979955,0.8069703305649089,0.4895252544882112,7.41628300759472,0.5224965667830773,0.01298520083165611,0.16593172211050816,0.0009577574638668281,1.1411326731873273,0.09430364731145123,0.4944122380118021,0.01015730894679593,0.00048172308415309306,0.19704605741856113,1.8987729385041496e-6,1.7911020553758214e-6,0.000056350413649309054,0.2725702094835459,0.8605164266226282
0.28,0.133928571,0.861071429,0.005,4990.885014285394,6.166532039394225,0.8859226303635082,0.46315035607866567,8.081076521905262,0.5408382304631038,0.015734300843991578,0.16674327081150225,0.0010310944755754993,1.1343501169039647,0.09224272103870114,0.48631493575520546,0.011423488232965325,0.00047020846045857183,0.22222025807841486,2.3760251687618375e-6,1.6585092527015482e-6,0.00006116286044683601,0.2867745105624339,0.9489848742159814
0.25,0.15,0.845,0.005,4990.086028317928,6.705156556493687,0.9850403041770034,0.43762892175788304,8.927673352659395,0.5656980271431417,0.01958974170291746,0.16761737534359047,0.0011282518109473412,1.1303246675972705,0.09018333147786109,0.47899705087190486,0.01307323055278358,0.00046195267518314476,0.2556175045304521,3.0668068910583183e-6,1.5243598907324876e-6,0.0000672430312315669,0.30376079718021687,1.060909784688719
0.23,0.163043478,0.831956522,0.005,4989.420906488753,7.1458640511004035,1.0666253622895356,0.42143141121618205,9.634701958372823,0.5876692450795578,0.02310132698937683,0.1682679637856523,0.001212430220925951,1.1300238613729388,0.08883869626319268,0.4749154868428026,0.014479955171108191,0.00045924517834026606,0.28455190053903034,3.714305587702903e-6,1.434459334283826e-6,0.00007228107974865516,0.31714804658557855,1.1538655855497775
0.2,0.1875,0.8075,0.005,4988.132866381544,7.981169130043447,1.2226454907444644,0.39916474163166016,11.012589743040374,0.6334592637028383,0.030670021135695023,0.16944852431581778,0.0013837978791190627,1.1352868656808615,0.0869346664789546,0.4709669889039488,0.017288711466455865,0.00046191597011810957,0.34336174324319313,5.158291329929506e-6,1.2998252362223246e-6,0.00008200090132325842,0.3415214627402831,1.3339561766732384
0.19,0.197368421,0.797631579,0.005,4987.597871234885,8.32154136108075,1.286785774844711,0.3925233908468836,11.588886373820552,0.6537283906369831,0.034107988787106296,0.1699341782253954,0.0014581425949997027,1.1392412343216756,0.08635255301757822,0.47055743908702724,0.018487324795619424,0.0004654166492601207,0.3688149500841804,5.8327249385004395e-6,1.2552772775197834e-6,0.00008602930158850567,0.3511427702635167,1.4089354041140074
0.17,0.220588235,0.774411765,0.005,4986.304226236884,9.129719076890053,1.4404790199717723,0.3809470832545194,12.993150270318154,0.7057798435414038,0.04312531475309356,0.1711438086093114,0.0016453688739417008,1.1520542714090836,0.08532036624825619,0.47191869088158744,0.0214603355202834,0.00047829302033504454,0.43270541251750183,7.64754583286319e-6,1.1672868870292254e-6,0.00009575914861267572,0.373406050210439,1.5909577187726969
0.15,0.25,0.745,0.005,4984.59529887372,10.167191713105035,1.6407981122976196,0.3725699396471979,14.872851558610956,0.781203166813256,0.05654382927339136,0.17287655162495227,0.0019083512458810516,1.1743771738687183,0.08456172791651126,0.4778044250451445,0.025542172492277117,0.0005026682022162738,0.5218549011690162,0.000010451230384162597,1.0818395847538972e-6,0.00010860300712320028,0.401015564411206,1.8333908492456783
0.13,0.288461538,0.706538462,0.005,4982.242628495697,11.543961376508804,1.9121001297816282,0.36911706382414416,17.507915723862123,0.8977138626687817,0.07776943185413099,0.17558110751506228,0.0022981879926309654,1.2122029182554759,0.08426942857633257,0.49169859513379177,0.03142756556692285,0.0005459714764138783,0.652571968082327,0.000015088202596044386,1.0009818253088882e-6,0.0001262893559698759,0.43639844563443675,2.171493046934405
0.11,0.340909091,0.654090909,0.005,4978.82409226027,13.448209498491371,2.297980769853686,0.37358361785268035,21.43383038431537,1.0940346664160734,0.11415678183218152,0.18018569714270008,0.0029184870287090117,1.2771012268806428,0.08480263898649115,0.5209021782438796,0.040468576303372604,0.0006224903466370654,0.8568355005482123,0.000023492017290934128,9.28425491068365e-7,0.00015202206014916137,0.483711716247566,2.672575036372131
0.1,0.375,0.62,0.005,4976.477613432774,14.695177595827987,2.5575204378060508,0.38036064556466553,24.193154030939326,1.2479261878289014,0.14284181956802985,0.18376735134175068,0.0033787995668659505,1.3265011547888366,0.0855810656350323,0.5458739811371254,0.04696857801065088,0.0006814708921344726,1.0054762711522112,0.00003044986437122448,8.973153960324703e-7,0.00016971308119614775,0.5140139879089,3.023472995132855
