phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,oxirane,acrolein,propanal,furan,cyclopentadiene,cyclopentene,crotonaldehyde (trans),crotonaldehyde (cis),benzene,4-pentenal,"1,2-epoxycyclopentane",cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,cyclopent-2-enol,cyclopent-3-enol,H radical,hydroxy,hydroperoxy radical,hydrogen peroxide
0.45,0.072222222,0.922777778,0.005,3311.5469957716964,1352.9547151105087,153.3850810179134,263.95190877532815,66760.05145048599,1103.6119806731922,485.89972666898007,21.244548973795823,3134.0174780464263,0.17381427618930936,28.759500073050752,56.10459719280668,10.949013332342831,21.87793384575218,80.59785202802495,2.185409050942923,1.027219204256776,0.04629963912231925,0.02554584730874002,11.162284767622873,11.162284767622873,0.012963841818119342,0.23282779546476562,2307.8451145828717,1.3842316626676439,200.97395885238743,19.908727362540045,0.0010537612086817703,0.00004057352817700039,0.001586191213796424,0.003311322708622106,6.555748535384945,588.1405093975022
0.4,0.08125,0.91375,0.005,3318.9852106354665,1374.3095301708786,144.0379345670579,250.26860636786432,75662.38698933412,1107.382124025827,485.2550723451074,19.883214868241502,3183.7869220399416,0.16338072480518145,27.396594273071535,53.558455390521985,9.817034804274005,22.40311218914091,78.47592230191309,2.106066221213911,1.0410805996959638,0.04341413670561757,0.023174433681800416,11.115281773353084,11.115281773353084,0.011272735125955486,0.19394523652199405,2283.9609322334063,1.366533094690746,208.7092093292219,20.003906718758255,0.0009074789321314325,0.00003628767227728478,0.0014990913958530935,0.0033792604386292655,6.73466162624102,609.9292363963002
0.38,0.085526316,0.909473684,0.005,3321.203233150676,1382.522945838437,140.05978652829808,244.31105337693205,79884.87083782566,1108.127259191273,484.84863569258687,19.331597127547973,3204.487119236861,0.15898456870164224,26.82767279942092,52.418285932730996,9.345507817921256,22.615386170585996,77.61468668469819,2.074134442571101,1.0467212639410866,0.04220231889302495,0.022226615655151123,11.111251983989668,11.111251983989668,0.01059468520260683,0.1791824336359353,2274.118525132015,1.3563429514049647,212.07214814801318,20.004796584171228,0.000849415009346169,0.000034607203211943816,0.0014614877979104977,0.0034078297031470807,6.808926882895984,619.1119636096337
0.35,0.092857143,0.902142857,0.005,3323.713681936283,1394.370437562263,133.80230867816866,234.79337743979968,87130.00161088852,1108.23495435009,484.05078239931674,18.496791411130612,3236.6259706647074,0.15211187565761242,25.94997875316037,50.555975591317186,8.617030458373042,22.936628846199103,76.31234288111288,2.026137004933341,1.0552044196566563,0.040311547151194234,0.020806991754260505,11.126633848038,11.126633848038,0.009577823437746977,0.15793069259009532,2258.9457798361514,1.3370325619126058,217.44152484530633,19.954699197680167,0.0007630946128498125,0.00003213071867154932,0.0014017927636661898,0.0034525822791223095,6.923644920886728,633.4582906609847
0.31,0.10483871,0.89016129,0.005,3325.5154486148335,1408.9825253151707,124.84259687810926,220.88274431565176,98985.67211522181,1106.0460072434626,482.56143728993777,17.369725533379764,3282.031875694397,0.14234371576064367,24.737343278735434,47.74330092400435,7.6045787265686835,23.37154408683857,74.56212736430993,1.962075197611373,1.0662958951093926,0.037629913915088437,0.01892025027512779,11.199966013603195,11.199966013603195,0.008226307154671802,0.13133356964940604,2237.7336253931203,1.302260860001975,225.28183743910228,19.7659875985999,0.0006500456859593031,0.00002892561907490379,0.0013153552182792146,0.003516710753107293,7.083685649671541,653.8064756351024
0.29,0.112068966,0.882931034,0.005,3325.7361993955906,1415.5985685332344,120.05848384165304,213.33268515305778,106146.63394499033,1103.6986982631881,481.5891282953266,16.799777680022025,3306.1073194913165,0.1371562004728673,24.11466564822812,46.17192546754545,7.080228291966165,23.5926699056031,73.68406743639927,1.930021492801506,1.0715648638114197,0.036207559525485496,0.017980368384217352,11.266360460917504,11.266360460917504,0.007554369441205883,0.11880959071130837,2226.5898599576026,1.2802014744672554,229.53094439873212,19.60533519099658,0.0005947000589893343,0.000027371123910465763,0.001268832848517434,0.0035511889610098596,7.167190501370436,664.582088927984
0.25,0.13,0.865,0.005,3324.7306098362656,1426.8217782745246,109.76345951276234,196.8342828920168,123922.04450525294,1095.6909848918879,479.03220303972364,15.644681792381565,3357.8110185900005,0.1260478216712501,22.84244519951776,42.631725173955815,5.9951704773205226,24.045368940300737,71.93011217896128,1.8656283870768144,1.0808249371623333,0.033163626350241386,0.016109167906680155,11.480120957832202,11.480120957832202,0.00622366429156102,0.09537156395044163,2202.8816348570617,1.2243795663773396,238.78498391376147,19.109671226818822,0.0004872022855221533,0.00002437375988811267,0.0011681108971206666,0.003626511612900351,7.342378660622152,687.5589520366802
0.23,0.141304348,0.853695652,0.005,3323.4332536339844,1431.0404020203541,104.19026480870342,187.77704527945633,135137.56323335896,1089.5666093800285,477.35068537289794,15.057686604204049,3385.856162946466,0.12006258346929218,22.19614817630011,40.62880475023457,5.435068997961435,24.27895176223814,71.0581676592191,1.8330117805795614,1.0843232112612744,0.03152379654774359,0.015178167879525901,11.63900431561865,11.63900431561865,0.005567711706757071,0.08447977721084354,2190.1346795855916,1.1893881712680001,243.83551092926064,18.752588919351233,0.00043546615241516986,0.000022937320057657295,0.0011133564617756807,0.003668197647471838,7.434629743820937,699.8722616015723
0.21,0.154761905,0.840238095,0.005,3321.5177204028937,1433.9447070083932,98.28030061918867,178.0889362944465,148496.61262574466,1081.5961358350391,475.30489498179287,14.46233178426733,3415.708457244935,0.11373704834798636,21.54582900432514,38.442729865894485,4.864267716542433,24.51939422856648,70.19270052124209,1.7997439609145691,1.0865454946026927,0.029790558948822522,0.014250081976633916,11.842369897468362,11.842369897468362,0.004920384856698265,0.07415296470949931,2176.636670130645,1.1486408972318283,249.202329566166,18.30389605688473,0.0003854097390864739,0.000021546537926418944,0.0010552048589860185,0.0037133101171563983,7.530403438493552,712.8265695012662
0.2,0.1625,0.8325,0.005,3320.2916956197864,1434.772430177265,95.18346674790007,172.98124974530282,156181.07036618018,1076.7790152470996,474.1130955701632,14.16077005382809,3431.4097915915268,0.11043167898876619,21.219939646176684,37.27310209712472,4.57528768031093,24.642884835352067,69.76323930945294,1.7827145001259725,1.0869923274122089,0.028884768591996998,0.01378695978340345,11.96357815420582,11.96357815420582,0.004600647207942488,0.06920424539020675,2169.560170333169,1.1258075232341658,252.01292819279283,18.039691936694844,0.0003611066884386038,0.000020869120902417895,0.0010247178455100837,0.0037373775995510746,7.579712437253004,719.5695784159487
0.19,0.171052632,0.823947368,0.005,3318.8576412978605,1435.0915565326447,91.98233532762154,167.68085240105708,164676.63358917634,1071.313094283859,472.78622630044407,13.85607875974855,3447.6863670768753,0.10702216504717411,20.89401333461805,36.04761632491136,4.284253085863445,24.769038854265172,69.33644641019102,1.7653046829060701,1.0868627689085202,0.02795038240000672,0.013324278591872475,12.099539285035448,12.099539285035448,0.00428396100836446,0.06440000775772815,2162.2367349063657,1.1011474518511875,254.9130085829331,17.745486018094535,0.00033734490227057645,0.000020204035791815626,0.0009932039190510085,0.003762597802004597,7.630020698864931,726.5050976060536
0.17,0.191176471,0.803823529,0.005,3315.229382196778,1433.830556830982,85.2327213733825,156.44148940900698,184674.06310469616,1058.0691345846144,469.637407310737,13.235092617520339,3482.1585645735477,0.09985990706591627,20.24339934891816,33.41268881158584,3.6974300410859122,25.031241690774632,68.49239465276824,1.7288343055280329,1.0843239537433946,0.025987499589931556,0.012399340870139913,12.421583381797978,12.421583381797978,0.0036612998969059105,0.05522851124075176,2146.748607428917,1.045691682755564,260.99545690842314,17.05497846704051,0.0002916434309942949,0.00001891130326734894,0.0009267875722638398,0.0038170244470169734,7.7337588056846664,741.0048415084756
0.15,0.216666667,0.778333333,0.005,3310.220532944527,1429.1724325735133,77.95168392331473,144.22944882353278,210017.10604510218,1040.932049952652,465.6232969688543,12.593504453449274,3519.5287134025266,0.09218263181025818,19.596260711322167,30.501510261208225,3.10757415112427,25.310819081109994,67.66351600654771,1.6889095146895943,1.0774540503939123,0.023883769594568123,0.011472454200634105,12.821057832230911,12.821057832230911,0.00305606915314382,0.04664438113598548,2129.9442188635608,0.9807714796848138,267.4752985254713,16.204545762878993,0.0002487499958887294,0.00001766732277013819,0.0008552322092594506,0.003877837547345663,7.841744378864705,756.4366280164721
0.13,0.25,0.745,0.005,3303.0299292570485,1419.5452933702466,70.03848972306587,130.86145317578288,243174.9953985449,1018.5048576970463,460.378010334124,11.92214092422221,3560.1708826786303,0.08391463909567777,18.9527771698534,27.271606532538904,2.5205230276173456,25.61459304110215,66.85191875800697,1.643142320800986,1.0638918471373986,0.021618876551772685,0.010538232465971508,13.310535182855403,13.310535182855403,0.0024730794342057386,0.038651075961025315,2111.554118425,0.9045263482091386,274.37074175640146,15.15944801981277,0.00020919458351143272,0.000016465649298092813,0.0007775880323199972,0.003946640410097203,7.953702059142158,772.920676910787
0.11,0.295454545,0.699545455,0.005,3291.9947621466645,1402.3111845262417,61.36552712898738,116.09417733172005,288413.924796001,988.5832345749446,453.30234416880086,11.206219107683001,3604.216741162445,0.07498051597208527,18.30650203693256,23.675474546324878,1.94523823652564,25.951713980963753,66.05637375306476,1.5874286919819296,1.0397051611385246,0.019171358876126386,0.009586339102858124,13.897627326971282,13.897627326971282,0.0019187907066355691,0.031248163132459005,2091.2970621011627,0.8146608837089753,281.68329014881635,13.876341178607916,0.0001735965345133908,0.000015287891820341447,0.0006925647891291271,0.004025402160159469,8.068338094262186,790.5692523601149
0.1,0.325,0.67,0.005,3284.0104849811873,1389.4908029068174,56.695401765370406,108.08659448488454,317830.7681062102,969.7432224878695,448.7781466709038,10.824374491547553,3627.3450956632078,0.07024636394033272,17.975737219788417,21.724926112433618,1.6660461957728119,26.136015276469283,65.66171590029144,1.553750369729403,1.0216566013639015,0.017872760365689855,0.009098018314116094,14.225465789238141,14.225465789238141,0.001655061563285506,0.027766217039019617,2080.4062990445386,0.7637709736104304,285.4884263706995,13.129243049841609,0.0001574935608547944,0.000014695508722682453,0.0006467428151678969,0.004069168846002418,8.125621483857024,799.8513996492511
