phi,O2,N2,fuel,cyclopentane,cyclopentene,"1,2-epoxycyclopentane",H2,water,CO,CO2,methane,acetaldehyde,ethene,propene,acrolein,"1,3-butadiene",1-butene,cyclopentadiene,benzene,h radical,hydroxy,hydroperoxy,peroxide,oxirane
0.45,0.083333333,0.911666667,0.005,800.0134535306222,425.5765025353665,35.00454100164229,1014.7598287939402,10465.91650948457,8918.654821912203,491.5455403645319,127.96605124290036,42.60060906060533,868.4362293581108,26.096118706339357,223.35255740467946,15.32083614539956,5.394903494748626,97.35655326557679,1.56788158611937,0.0024923655836122925,0.004930023209342209,6.777192520819206,655.1446916925461,22.59662510258437
0.4,0.09375,0.90125,0.005,786.8792880901555,430.1872233486756,35.41425254117448,957.2337325964731,10612.610683026514,8915.974271493316,504.0220099614401,117.69776506638111,41.182365704918496,790.113201033406,23.80636451051521,219.14498746287813,16.044431811908417,5.118395043859531,101.33066074348483,1.4739598743047833,0.0023590700163858332,0.00503376615502126,6.915077905960862,676.7541056482463,21.273149430701615
0.35,0.107142857,0.887857143,0.005,772.4261773599133,434.5451304948012,35.792072827459634,894.0764428433896,10771.233276906692,8911.982856491835,519.0291897072735,106.72971698060752,39.73935469981068,707.3897453451175,21.44501383284799,214.64079818370388,16.931890185866216,4.844600643085801,105.79997856279562,1.370545118675097,0.002214415073013511,0.005151716437350891,7.069511912706318,700.7854834985226,19.89262718348992
0.31,0.120967742,0.874032258,0.005,759.7021247708708,437.7677841015156,36.06493700387053,838.6980982686555,10908.429949137913,8907.921409608845,533.598476904332,97.36188832561147,38.549215838476364,637.923579285035,19.493994881370046,210.73706141381146,17.797202274266702,4.624301998377095,109.8170736085879,1.279127001570158,0.0020886136754093183,0.005259010533053527,7.208726329129986,722.259383437549,18.753354286839805
0.28,0.133928571,0.861071429,0.005,749.3553449076082,439.98103304176936,36.249087975506484,793.7915021561337,11018.366147389876,8904.298584265192,546.5832909686699,89.93555618440378,37.62234668102114,583.8736091704999,17.987804813946312,207.57001107008082,18.563811096467724,4.45564506308498,113.1484267481981,1.204288257409215,0.0019870041863300626,0.005348758952457214,7.324972097932952,740.0503741897707,17.882218968894094
0.25,0.15,0.845,0.005,738.2172815570268,441.9789419766699,36.41368181020778,745.467366798889,11135.18930096427,8899.957254020674,561.9372981142333,82.11977010872566,36.652049554889025,528.1553340940418,16.438382577443342,204.131748956399,19.45898807624403,4.280909344359761,116.81580363894604,1.1229641382826436,0.0018777482270636331,0.005447989826112407,7.454117703707443,759.6843498571218,16.998942384070794
0.23,0.163043478,0.831956522,0.005,730.3044624199102,443.17261576029955,36.512182589480226,711.0447907026107,11217.30791841734,8896.430749811358,573.8763017081686,76.66929558565177,35.97239218804093,490.09833067842766,15.377709037754151,201.64856983479066,20.14424198580033,4.15892942053854,119.4867827068306,1.06453945293869,0.0017997866060643132,0.005520199606302325,7.549064549140824,774.0524703896568,16.40353915583398
0.2,0.1875,0.8075,0.005,717.637522078813,444.731699642827,36.644336871144844,655.4900878739326,11347.4415315383,8889.468718211145,595.1824366876863,68.09383972365436,34.885729663762454,431.6952707019589,13.737846648246654,197.55450581083505,21.340537753150326,3.962935884817553,123.91721600556153,0.9694822115382646,0.0016733309394467435,0.005638878402873794,7.708257475622977,798.0855194330215,15.49824989949823
0.19,0.197368421,0.797631579,0.005,713.1926718832539,445.18689561992966,36.685055706833914,635.7703229727805,11392.772645612726,8886.447738465515,603.4246666452563,65.12013408031022,34.50084602144027,411.8919757196368,13.176366385834699,196.06970115260296,21.793808633536006,3.8927709903508894,125.53057097594031,0.9355573549453373,0.0016281567281680677,0.005681451285738164,7.76672527995347,806.9171941247229,15.191958903975017
0.17,0.220588235,0.774411765,0.005,703.9660501794768,446.0025414284156,36.76417705813468,594.2332054807765,11486.429984031354,8878.716733696696,622.1040400592519,58.98642760796663,33.68780731352169,371.8159135897405,12.027695781599213,192.87812107290472,22.80134216211907,3.7423407937181925,129.01072576926754,0.8638987493979489,0.0015323199319825615,0.0057714121406480315,7.893608649482184,826.1490715215403,14.568835646090056
0.15,0.25,0.745,0.005,694.314270476304,446.7080429058256,36.846109029044165,549.4799628579876,11583.945688436159,8867.527258838929,644.4755998598883,52.58967232980663,32.80342608926671,331.1671670369539,10.839982064499276,189.3299967557005,23.972876788716167,3.573937040556226,132.9057812612408,0.78658978387313,0.001427753176519469,0.005867869157361624,8.036518931421007,848.0244569624347,13.924272967437497
0.13,0.288461538,0.706538462,0.005,684.326960465599,447.35241435726107,36.94369790500642,500.8786616431392,11684.680482280579,8850.48634112392,671.8394741573117,45.91464677865063,31.826296889195767,290.03315708740246,9.606237268016862,185.33207755134103,25.35652048730909,3.3800044826752256,137.3465573985837,0.7028714793110642,0.0013122427810159031,0.005970268040521905,8.199891298161667,873.5233117589927,13.244247231322321
0.11,0.340909091,0.654090909,0.005,674.2349772666565,448.0510858819423,37.082205412011,447.6052671975078,11786.851566877373,8823.232102638312,706.1999310280291,38.953203140765524,30.72673862693619,248.54182017595429,8.317763274042997,180.7590050954924,27.023268666158735,3.1492871150918944,142.53400378651884,0.6119244087257794,0.0011827597552607403,0.006076417345157267,8.39007085287897,904.2624376872329,12.5065056860003
0.1,0.375,0.62,0.005,669.3007101608903,448.49275709597924,37.18125200662129,418.8914512701475,11837.264830431895,8803.403920073739,726.9501393797442,35.36663368500947,30.1184206862341,227.7201931037566,7.649783997134073,178.2055132502343,27.9950231714598,3.0150833707384823,145.5016973590562,0.5634835341706358,0.0011115283444115337,0.006129250808896056,8.497995757498815,922.4230212332166,12.106210912790063
